0.406 	0.467 	0.364 	0.427 	0.367 	0.433
0.464 	0.544 	0.422 	0.504 	0.428 	0.515
0.510 	0.603 	0.468 	0.566 	0.476 	0.580
0.586 	0.699 	0.546 	0.668 	0.557 	0.688
0.922 	1.000 	0.879 	1.000 	0.906 	1.000
0.333 	0.398 	0.300 	0.366 	0.308 	0.378
0.386 	0.470 	0.352 	0.440 	0.363 	0.458
0.428 	0.528 	0.395 	0.499 	0.409 	0.534
0.500 	0.624 	0.469 	0.602 	0.488 	0.634
0.850 	1.000 	0.822 	1.000 	0.866 	1.000
0.271 	0.336 	0.247 	0.314 	0.260 	0.333
0.316 	0.403 	0.291 	0.383 	0.309 	0.409
0.353 	0.456 	0.329 	0.439 	0.349 	0.472
0.419 	0.548 	0.397 	0.538 	0.423 	0.583
0.767 	1.000 	0.756 	1.000 	0.819 	1.000
0.218 	0.282 	0.202 	0.269 	0.219 	0.295
0.254 	0.341 	0.239 	0.331 	0.261 	0.366
0.286 	0.388 	0.271 	0.382 	0.297 	0.425
0.342 	0.472 	0.330 	0.475 	0.364 	0.533
0.676 	1.000 	0.683 	1.000 	0.766 	1.000
0	0	0	0	0	0
0.4	0.4	0.4	0.4	0.4	0.4
0.6	0.6	0.6	0.6	0.6	0.6
0.8	0.8	0.8	0.8	0.8	0.8
1	1	1	1	1	1
0	0	0	0	0	0
0.4	0.4	0.4	0.4	0.4	0.4
0.6	0.6	0.6	0.6	0.6	0.6
0.8	0.8	0.8	0.8	0.8	0.8
1	1	1	1	1	1
0	0	0	0	0	0
0.4	0.4	0.4	0.4	0.4	0.4
0.6	0.6	0.6	0.6	0.6	0.6
0.8	0.8	0.8	0.8	0.8	0.8
1	1	1	1	1	1
0	0	0	0	0	0
0.4	0.4	0.4	0.4	0.4	0.4
0.6	0.6	0.6	0.6	0.6	0.6
0.8	0.8	0.8	0.8	0.8	0.8
1	1	1	1	1	1
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	10	0	10	0	10
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
0	0	0.66	0.66	1	1
25	25	25	25	25	25
25	25	25	25	25	25
25	25	25	25	25	25
25	25	25	25	25	25
25	25	25	25	25	25
30	30	30	30	30	30
30	30	30	30	30	30
30	30	30	30	30	30
30	30	30	30	30	30
30	30	30	30	30	30
35	35	35	35	35	35
35	35	35	35	35	35
35	35	35	35	35	35
35	35	35	35	35	35
35	35	35	35	35	35
40	40	40	40	40	40
40	40	40	40	40	40
40	40	40	40	40	40
40	40	40	40	40	40
40	40	40	40	40	40
